,covid_date,covid_cases_UK
0,2020-01-23,0
1,2020-01-24,0
2,2020-01-25,0
3,2020-01-26,0
4,2020-01-27,0
5,2020-01-28,0
6,2020-01-29,0
7,2020-01-30,0
8,2020-01-31,2
9,2020-02-01,0
10,2020-02-02,0
11,2020-02-03,6
12,2020-02-04,0
13,2020-02-05,1
14,2020-02-06,0
15,2020-02-07,0
16,2020-02-08,4
17,2020-02-09,1
18,2020-02-10,0
19,2020-02-11,1
20,2020-02-12,1
21,2020-02-13,1
22,2020-02-14,1
23,2020-02-15,0
24,2020-02-16,0
25,2020-02-17,1
26,2020-02-18,0
27,2020-02-19,1
28,2020-02-20,2
29,2020-02-21,1
30,2020-02-22,0
31,2020-02-23,5
32,2020-02-24,2
33,2020-02-25,4
34,2020-02-26,3
35,2020-02-27,7
36,2020-02-28,12
37,2020-02-29,5
38,2020-03-01,33
39,2020-03-02,40
40,2020-03-03,55
41,2020-03-04,57
42,2020-03-05,49
43,2020-03-06,79
44,2020-03-07,55
45,2020-03-08,54
46,2020-03-09,147
47,2020-03-10,259
48,2020-03-11,412
49,2020-03-12,489
50,2020-03-13,480
51,2020-03-14,364
52,2020-03-15,443
53,2020-03-16,615
54,2020-03-17,770
55,2020-03-18,1005
56,2020-03-19,1066
57,2020-03-20,1258
58,2020-03-21,1215
59,2020-03-22,1389
60,2020-03-23,2349
61,2020-03-24,2382
62,2020-03-25,2717
63,2020-03-26,3127
64,2020-03-27,3249
65,2020-03-28,2843
66,2020-03-29,2892
67,2020-03-30,4327
68,2020-03-31,4534
69,2020-04-01,4974
70,2020-04-02,4929
71,2020-04-03,4981
72,2020-04-04,4073
73,2020-04-05,3650
74,2020-04-06,5316
75,2020-04-07,5486
76,2020-04-08,5163
77,2020-04-09,4906
78,2020-04-10,4367
79,2020-04-11,3613
80,2020-04-12,3539
81,2020-04-13,4205
82,2020-04-14,4348
83,2020-04-15,5100
84,2020-04-16,5343
85,2020-04-17,4990
86,2020-04-18,4736
87,2020-04-19,3860
88,2020-04-20,4866
89,2020-04-21,4775
90,2020-04-22,5505
91,2020-04-23,5168
92,2020-04-24,4981
93,2020-04-25,3764
94,2020-04-26,3473
95,2020-04-27,4704
96,2020-04-28,4727
97,2020-04-29,5450
98,2020-04-30,4964
99,2020-05-01,4730
100,2020-05-02,3230
101,2020-05-03,2977
102,2020-05-04,3383
103,2020-05-05,3689
104,2020-05-06,3836
105,2020-05-07,3771
106,2020-05-08,3052
107,2020-05-09,2150
108,2020-05-10,2322
109,2020-05-11,3589
110,2020-05-12,3395
111,2020-05-13,3300
112,2020-05-14,2618
113,2020-05-15,2521
114,2020-05-16,2072
115,2020-05-17,1826
116,2020-05-18,2577
117,2020-05-19,3058
118,2020-05-20,2712
119,2020-05-21,2554
120,2020-05-22,2041
121,2020-05-23,1508
122,2020-05-24,1355
123,2020-05-25,1613
124,2020-05-26,1659
125,2020-05-27,1809
126,2020-05-28,1736
127,2020-05-29,1508
128,2020-05-30,1107
129,2020-05-31,1070
130,2020-06-01,1444
131,2020-06-02,1470
132,2020-06-03,1349
133,2020-06-04,1238
134,2020-06-05,1110
135,2020-06-06,794
136,2020-06-07,718
137,2020-06-08,1094
138,2020-06-09,1159
139,2020-06-10,1186
140,2020-06-11,1007
141,2020-06-12,1054
142,2020-06-13,888
143,2020-06-14,807
144,2020-06-15,1031
145,2020-06-16,1083
146,2020-06-17,999
147,2020-06-18,1020
148,2020-06-19,984
149,2020-06-20,666
150,2020-06-21,624
151,2020-06-22,892
152,2020-06-23,882
153,2020-06-24,777
154,2020-06-25,697
155,2020-06-26,639
156,2020-06-27,634
157,2020-06-28,407
158,2020-06-29,620
159,2020-06-30,404
160,2020-07-01,63
161,2020-07-02,6
162,2020-07-03,502
163,2020-07-04,625
164,2020-07-05,519
165,2020-07-06,359
166,2020-07-07,584
167,2020-07-08,637
168,2020-07-09,643
169,2020-07-10,524
170,2020-07-11,826
171,2020-07-12,650
172,2020-07-13,537
173,2020-07-14,1240
174,2020-07-15,538
175,2020-07-16,647
176,2020-07-17,687
177,2020-07-18,829
178,2020-07-19,726
179,2020-07-20,586
180,2020-07-21,445
181,2020-07-22,563
182,2020-07-23,779
183,2020-07-24,769
184,2020-07-25,770
185,2020-07-26,750
186,2020-07-27,688
187,2020-07-28,553
188,2020-07-29,802
189,2020-07-30,847
190,2020-07-31,883
191,2020-08-01,769
192,2020-08-02,747
193,2020-08-03,942
194,2020-08-04,675
195,2020-08-05,906
196,2020-08-06,964
197,2020-08-07,900
198,2020-08-08,765
199,2020-08-09,1113
200,2020-08-10,818
201,2020-08-11,1150
202,2020-08-12,1039
203,2020-08-13,1148
204,2020-08-14,1461
205,2020-08-15,1042
206,2020-08-16,1111
207,2020-08-17,721
208,2020-08-18,1113
209,2020-08-19,831
210,2020-08-20,1195
211,2020-08-21,1060
212,2020-08-22,1332
213,2020-08-23,1048
214,2020-08-24,977
215,2020-08-25,1201
216,2020-08-26,1146
217,2020-08-27,1542
218,2020-08-28,1297
219,2020-08-29,1110
220,2020-08-30,1752
221,2020-08-31,1415
222,2020-09-01,1332
223,2020-09-02,1514
224,2020-09-03,1779
225,2020-09-04,1978
226,2020-09-05,1827
227,2020-09-06,2987
228,2020-09-07,2951
229,2020-09-08,2481
230,2020-09-09,2681
231,2020-09-10,2931
232,2020-09-11,3544
233,2020-09-12,3504
234,2020-09-13,3338
235,2020-09-14,2625
236,2020-09-15,3115
237,2020-09-16,4007
238,2020-09-17,3410
239,2020-09-18,4329
240,2020-09-19,4429
241,2020-09-20,3899
242,2020-09-21,4378
243,2020-09-22,4936
244,2020-09-23,6187
245,2020-09-24,6644
246,2020-09-25,6878
247,2020-09-26,6050
248,2020-09-27,5700
249,2020-09-28,4056
250,2020-09-29,7156
251,2020-09-30,7117
252,2020-10-01,6929
253,2020-10-02,6994
254,2020-10-03,12885
255,2020-10-04,22965
256,2020-10-05,12603
257,2020-10-06,14557
258,2020-10-07,14173
259,2020-10-08,17550
260,2020-10-09,13888
261,2020-10-10,15175
262,2020-10-11,12882
263,2020-10-12,14011
264,2020-10-13,17250
265,2020-10-14,19751
266,2020-10-15,18996
267,2020-10-16,15657
268,2020-10-17,16186
269,2020-10-18,16994
270,2020-10-19,18830
271,2020-10-20,21365
272,2020-10-21,26707
273,2020-10-22,21257
274,2020-10-23,20559
275,2020-10-24,23033
276,2020-10-25,19797
277,2020-10-26,20900
278,2020-10-27,22924
279,2020-10-28,24714
280,2020-10-29,23078
281,2020-10-30,24418
282,2020-10-31,21919
283,2020-11-01,23261
284,2020-11-02,18967
285,2020-11-03,20078
286,2020-11-04,25206
287,2020-11-05,24164
288,2020-11-06,23322
289,2020-11-07,24979
290,2020-11-08,20580
291,2020-11-09,21397
292,2020-11-10,20451
293,2020-11-11,23000
294,2020-11-12,33517
295,2020-11-13,27316
296,2020-11-14,26876
297,2020-11-15,24977
298,2020-11-16,21415
299,2020-11-17,20060
300,2020-11-18,19645
301,2020-11-19,22936
302,2020-11-20,20274
303,2020-11-21,19921
304,2020-11-22,18667
305,2020-11-23,15465
306,2020-11-24,11344
307,2020-11-25,18261
308,2020-11-26,17557
309,2020-11-27,14821
310,2020-11-28,15891
311,2020-11-29,12164
312,2020-11-30,12428
313,2020-12-01,13497
314,2020-12-02,16237
315,2020-12-03,14951
316,2020-12-04,16382
317,2020-12-05,15579
318,2020-12-06,17372
319,2020-12-07,14774
320,2020-12-08,12386
321,2020-12-09,16634
322,2020-12-10,21066
323,2020-12-11,21784
324,2020-12-12,21554
325,2020-12-13,18541
326,2020-12-14,20377
327,2020-12-15,18569
328,2020-12-16,25300
329,2020-12-17,35532
330,2020-12-18,28560
331,2020-12-19,27249
332,2020-12-20,36084
333,2020-12-21,33517
334,2020-12-22,36931
335,2020-12-23,39387
336,2020-12-24,39148
337,2020-12-25,32803
338,2020-12-26,34788
339,2020-12-27,32493
340,2020-12-28,41460
341,2020-12-29,53275
342,2020-12-30,50239
343,2020-12-31,56029
344,2021-01-01,53458
